id,phone_number,address
02974600X2,0297461629,"1 ALBERT RD OS RAIL STATION, STRATHFIELD"
02974634X2,0297461877,"1 ALBERT RD OS STATION STH SID, STRATHFIELD"
02974628X2,0297463693,"1 ALBERT RD OS STATION STH SID, STRATHFIELD"
07328441X2,0732846344,"27 ANZAC AVE NR JOHN ST, REDCLIFFE"
07328420X2,0732847966,"107 ANZAC AVE NR TILLEY ST, REDCLIFFE"
03579217X2,0357921473,"111 ANZAC AVE OS POST OFFICE, SEYMOUR"
03579901X2,0357992137,"219 ANZAC AVE OS BARNEYS M/BAR, SEYMOUR"
02499004X2,0249901187,"19 ALLANDALE ST , KEARSLEY"
08984120X2,0898413900,"32 ANGOVE RD SHOPPING CENTRE, SPENCER PARK"
02637903X2,0263794487,"73 ANGUS AVE NR NOYES ST, KANDOS"
08827224X2,0882725121,"20 ALBERT ST OPP ROSE LANE, MITCHAM"
07465480Y2,0746548172,"0 ALBERT ST NR VICTORIA ST, MORVEN"
02686213X2,0268623040,"37 ALBERT ST NR VICTORIA ST, PARKES"
03969920X2,0396995080,"16 ALBERT RD CNR ST KILDA RD, SOUTH MELBOURNE"
07493911X2,0749391981,"32 ANZAC PDE CNR COMO UNITS, YEPPOON"
03549472X2,0354947307,"1 ALLEN ST NR VERNON ST, KORONG VALE"
02655346X2,0265534787,"9 ALLEN ST CNR KILLAARRA ST, WINGHAM"
07382400X2,0738240019,"1 ALLENBY RD FINUCANE RD NEAR, ALEXANDRA HILLS"
02636215X2,0263621765,"1 ALLENBY RD NR BATHURST RD, ORANGE"
02494027X2,0249654132,"29 ALBERT ST , WICKHAM"
07335705X2,0733576765,"51 ALBION RD NR MAWARRA ST, ALBION"
03989903X2,0398990255,"32 ALBION RD , BOX HILL"
03938363X2,0393832429,"132 ALBION ST , BRUNSWICK"
03939001X2,0393901656,"1 APOLLO RD NR SUNSHINE AVE, TAYLORS LAKES"
02463100X2,0246311109,"75 APPIN RD OS SHOPS, APPIN"
07335638X2,0733565396,"38 APPLEBY RD CNR TEEVAN ST, STAFFORD"
02423600X2,0242360200,"32 ALLOWRIE ST OS POST OFFICE, JAMBEROO"
07326920X2,0732696588,"58 ALLPASS PDE NR JETTY ST, SHORNCLIFFE"
02936117X2,0293610179,"150 ALBION ST NR CROWN ST, SURRY HILLS"
07326904X2,0732696411,"3 ALBURY ST NR ADAMS ST, DEAGON"
03954637X2,0395465873,"4 BALMORAL AVE CNR SPRINGVALE RD, SPRINGVALE"
03954614X2,0395464037,"4 BALMORAL AVE CNR SPRINGVALE RD, SPRINGVALE"
02929916X2,0292996837,"21 BARRACK ST NR GEORGE ST, SYDNEY"
02929906X2,0292996838,"21 BARRACK ST NR GEORGE ST, SYDNEY"
03559431X2,0355943305,"6 BARRAMUL ST O/S GENERAL STORE, SIMPSON"
08832211X2,0883873861,"43 BARRAMUNDI DRV NEAR CNR ROGANA CR, HALLETT COVE"
02991806X2,0299189321,"652 BARRENJOEY RD NTH AVALON RD, AVALON BEACH"
07336603X2,0733661299,"5 ASHGROVE AVE NR WATERWORKS RD, ASHGROVE"
03978933X2,0397895849,"108 ASHLEIGH AVE CNR FLAM ST, FRANKSTON"
03978912X2,0397890109,"108 ASHLEIGH AVE CNR FLAM ST, FRANKSTON"
03931830X2,0393183019,"108 ASHLEY ST CNR CHURCHILL AVE, MAIDSTONE"
08964110X2,0896411000,"134 AVON TCE O/S POST OFFICE, YORK"
03502061Y2,0350206858,"0 BALRANALD/IVANHOE RD OS HOTEL, HATFIELD"
02434300X2,0243421752,"113 BARRENJOEY RD CNR BANGALOW, ETTALONG BEACH"
02434420X2,0243415230,"21 BARRENJOEY RD , ETTALONG BEACH"
02997901X2,0299796750,"347 BARRENJOEY RD NEAR ROBERTSON RD, NEWPORT"
02999715X2,0299973262,"366 BARRENJOEY RD CNR BRAMLEY RD, NEWPORT"
08938416X2,0893848011,"22 ASHTON AVE NR SECOND AVE, CLAREMONT"
02665108X2,0266512708,"52 AZALEA AVE NR COMBINE ST, COFFS HARBOUR"
08953900Y2,0892484119,"28 BAAL ST NR KOOKABURRA AVE, CULLACABARDEE"
02674224X2,0267422309,"9 BANDO ST CNR HOPEDALE ST, GUNNEDAH"
02668090X2,0266809421,"78 BANGALOW RD NR CUMBEBIN PLACE, BYRON BAY"
07559601X2,0755782709,"21 BARRINE DRV NR MATARANKA DVE, WORONGARY"
03649231X2,0364923209,"53 BARRINGTON RD OS POST OFFICE, BARRINGTON"
07383202X2,0738321077,"67 ASTOR TCE NR COUSINS ST, SPRING HILL"
07383203X2,0738321099,"1 ASTOR TCE NR UPPER EDWARD ST, SPRING HILL"
03645837X2,0364583100,"570 BACK LINE/MENGHA RD , FOREST"
03587103X2,0358712071,"47 BANK ST , COBRAM"
02980706X2,0298073309,"27 BANK ST OPP RAIL STATION, MEADOWBANK"
02636680X2,0263668002,"46 BANK ST NR POST OFFICE, MOLONG"
08931494X2,0893379210,"72 ARCHIBALD ST NR CUMMINS ST, WILLAGEE"
08931459X2,0893316553,"72 ARCHIBALD ST NR CUMMINS ST, WILLAGEE"
02966510X2,0296658662,"242 ARDEN ST NR CARR ST, COOGEE"
03932943X2,0393298413,"180 ARDEN ST OS FLATS, NORTH MELBOURNE"
03933302X2,0393333251,"37 ARDLIE ST CARAVAN PARK, ATTWOOD"
03956809X2,0395680533,"30 ATHERTON RD , OAKLEIGH"
02931608X2,0293164952,"2 BANKSIA ST POST OFFICE, BOTANY"
02465510X2,0246551816,"168 ARGYLE ST IN CAMDEN ARCADE, CAMDEN"
03935919X2,0393593390,"34 ARGYLE ST NEAR CNR WILSON ST, FAWKNER"
02486807X2,0248681632,"475 ARGYLE ST NR WHITE ST, MOSS VALE"
02486805X2,0248681254,"0 ARGYLE RD RAILWAY STATION, MOSS VALE"
03954628X2,0395465084,"175 ATHOL RD CNR SPRINGVALE RD, SPRINGVALE SOUTH"
